NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,SOURCE,WEBSITE,OWNER,BEDS,HELIPAD
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,"393 S, TUSTIN STREET",ORANGE,CA,92866,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,27,ORANGE,USA,33.782727173,-117.833891865,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.HealthBridgeOrange.com,PROPRIETARY,27,N
VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDREN'S PLACE,MADERA,CA,93638,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,356,MADERA,USA,36.884047834,-119.800242412,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.valleychildrens.org/Pages/Default.aspx,NON-PROFIT,356,Y
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET,LOMA LINDA,CA,92354,NOT AVAILABLE,(800) 825-5437,CHILDREN,OPEN,343,SAN BERNARDINO,USA,34.050130832,-117.264094455,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://childrens-hospital.lomalindahealth.org/,NON-PROFIT,343,Y
DELRAY MEDICAL CENTER,5352 LINTON BLVD,DELRAY BEACH,FL,33484,NOT AVAILABLE,(561) 498-4440,GENERAL ACUTE CARE,OPEN,536,PALM BEACH,USA,26.437192841,-80.127787747,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.delraymedicalctr.com,PROPRIETARY,536,Y
SHRINERS' HOSPITAL FOR CHILDREN,51 BLOSSOM ST,BOSTON,MA,2114,NOT AVAILABLE,(617) 722-3000,CHILDREN,OPEN,30,SUFFOLK,USA,42.363092548,-71.066301879,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.shrinershospitalsforchildren.org/Locations/boston,NON-PROFIT,30,N
SHRINERS' HOSPITAL FOR CHILDREN,516 CAREW ST,SPRINGFIELD,MA,1104,NOT AVAILABLE,(413) 787-2000,CHILDREN,OPEN,40,HAMPDEN,USA,42.121315027,-72.59237295,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.shrinershospitalsforchildren.org/Locations/springfield,NON-PROFIT,40,N
DELL CHILDREN'S MEDICAL CENTER,4900 MUELLER BOULEVARD,AUSTIN,TX,78746,NOT AVAILABLE,(512) 324-0101,CHILDREN,OPEN,248,TRAVIS,USA,30.303110831,-97.707022459,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.dellchildrens.net,NON-PROFIT,248,Y
COOK CHILDREN'S MEDICAL CENTER,801 SEVENTH AVENUE,FORT WORTH,TX,76104,NOT AVAILABLE,(682) 885-4340,CHILDREN,OPEN,430,TARRANT,USA,32.737071728,-97.341405043,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.cookchildrens.org,NON-PROFIT,430,Y
COVENANT CHILDREN'S HOSPITAL,4015 22ND PLACE,LUBBOCK,TX,79410,NOT AVAILABLE,(806) 725-7960,CHILDREN,OPEN,73,LUBBOCK,USA,33.573403254,-101.900592032,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.covenanthealth.org/About-Us/Facilities/Childrens-Hospital.aspx,NON-PROFIT,73,Y
SEATTLE CHILDREN'S HOSPITAL,4800 SANDPOINT WAY NE,SEATTLE,WA,98105,NOT AVAILABLE,(206) 526-2000,CHILDREN,OPEN,250,KING,USA,47.662568243,-122.282082991,https://fortress.wa.gov/doh/facilitysearch/Default.aspx,www.seattlechildrens.org,NON-PROFIT,250,Y
BLYTHEDALE CHILDREN'S HOSPITAL,95 BRADHURST AVE,VALHALLA,NY,10595,NOT AVAILABLE,(914) 592-7555,CHILDREN,OPEN,86,WESTCHESTER,USA,41.074847541,-73.799972237,https://profiles.health.ny.gov/hospital/county_or_region/,http://www.blythedale.org,NON-PROFIT,86,N
NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,3959 BROADWAY,NEW YORK,NY,10032,NOT AVAILABLE,(212) 305-5437,CHILDREN,OPEN,190,NEW YORK,USA,40.839763259,-73.941282577,https://profiles.health.ny.gov/hospital/county_or_region/,http://www.nyp.org/morganstanley,NON-PROFIT,190,N
OU MEDICAL CENTER -THE CHILDREN'S HOSPITAL,1200 CHILDREN'S AVE,OKLAHOMA CITY,OK,73104,NOT AVAILABLE,(405) 271-5911,CHILDREN,OPEN,314,OKLAHOMA,USA,35.48165324,-97.496105013,https://www.ok.gov/health/Protective_Health/Medical_Facilities_Service/,http://www.oumedicine.com/oumedicalcenter,PROPRIETARY,314,Y
LE BONHEUR CHILDREN'S HOSPITAL,50 NORTH DUNLAP,MEMPHIS,TN,38103,NOT AVAILABLE,(901) 572-5952,CHILDREN,OPEN,225,SHELBY,USA,35.145050795,-90.031801216,https://apps.health.tn.gov/FacilityListings,http://www.methodisthealth.org/locations/le-bonheur-children-s-hospital,NON-PROFIT,225,Y
SHRINERS HOSPITAL FOR  CHILDREN,1310 PUNAHOU ST,HONOLULU,HI,96826,NOT AVAILABLE,(808) 941-4466,CHILDREN,OPEN,16,HONOLULU,USA,21.30047125,-157.835143531,https://data.hawaii.gov/Health/Hospitals-in-Hawaii/rwns-g4bn/data,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Hon olulu.aspx,NON-PROFIT,16,N
CHILDRENS HEALTHCARE OF ATLANTA AT SCOTTISH RITE,1001 JOHNSON FERRY RD,ATLANTA,GA,30342,NOT AVAILABLE,(404) 785-5437,CHILDREN,OPEN,250,FULTON,USA,33.906081641,-84.353951837,http://www.gamap2care.info/,http://www.choa.org/,NON-PROFIT,250,Y
CHILDRENS HOSPITAL COLORADO SOUTH CAMPUS,1811 PLAZA DRIVE,HIGHLANDS RANCH,CO,80129,NOT AVAILABLE,(720) 777-9400,CHILDREN,OPEN,16,DOUGLAS,USA,39.557332503,-105.01001289,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,http://www.childrenscolorado.org/about/locations/highlands-ranch,NON-PROFIT,16,Y
FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BOSTON,MA,2135,NOT AVAILABLE,(617) 254-3800,CHILDREN,OPEN,112,SUFFOLK,USA,42.349972821,-71.142631044,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://franciscanchildrens.org/,NON-PROFIT,112,N
ALL CHILDREN'S HOSPITAL,501 6TH AVE S,SAINT PETERSBURG,FL,33701,NOT AVAILABLE,(727) 898-7451,CHILDREN,OPEN,259,PINELLAS,USA,27.764637524,-82.640753708,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.allkids.org,NON-PROFIT,259,Y
NICKLAUS CHILDREN'S HOSPITAL,3100 SW 62ND AVE,MIAMI,FL,33155,NOT AVAILABLE,(305) 666-6511,CHILDREN,OPEN,309,MIAMI-DADE,USA,25.741456241,-80.29429675,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.mch.com,NON-PROFIT,309,Y
HEALTHBRIDGE CHILDREN'S HOSPITAL - HOUSTON,2929 WOODLAND PARK DRIVE,HOUSTON,TX,77082,NOT AVAILABLE,(281) 293-7774,CHILDREN,OPEN,40,HARRIS,USA,29.732450146,-95.579984722,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.healthbridgehouston.com/,PROPRIETARY,40,N
EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,2801 ATLANTIC AVENUE,LONG BEACH,CA,90806,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,371,LOS ANGELES,USA,33.80817455,-118.185457576,http://www.oshpd.ca.gov/HID/Facility-Listing.html,http://www.memorialcare.org,NON-PROFIT,371,Y
CHILDREN'S HOSPITAL,200 HENRY CLAY AVE,NEW ORLEANS,LA,70118,NOT AVAILABLE,(504) 899-9511,CHILDREN,OPEN,247,ORLEANS,USA,29.917864189,-90.127396264,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.chnola.org,NON-PROFIT,247,Y
CHILDRENS HOSPITAL OF NEW JERSEY - NEWARK,201 LYONS AVENUE,NEWARK,NJ,7112,NOT AVAILABLE,(973) 926-7000,CHILDREN,OPEN,-999,ESSEX,USA,40.709470278,-74.211927641,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.barnabashealth.org/hospitals/childrens_hospital/,NON-PROFIT,-999,N
COOK CHILDREN'S NORTHEAST HOSPITAL,6316 PRECINCT LINE ROAD,HURST,TX,76054,NOT AVAILABLE,(817) 605-2500,CHILDREN,OPEN,3,TARRANT,USA,32.863229826,-97.18541568,http://www.dshs.texas.gov/facilities/find-a-licensee.aspx,http://www.cookchildrens.org/AboutUs/Companies/Pages/NortheastHospital.aspx,PROPRIETARY,3,N
